# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	6	30	0	E	6.1857924e-02	1.1752670e+02	1.4602481e+02	-1.0000005e-02
0	0	6	30	1	T	7.3575549e-02	1.2397630e+02	1.6124966e+02	-9.9999998e-03
0	0	6	30	1	E	5.4098830e-02	1.1741521e+02	1.4531883e+02	-1.0000423e-02
0	0	6	30	2	T	7.8364901e-02	1.2506727e+02	1.5981143e+02	-1.0000002e-02
0	0	6	30	2	E	6.1339125e-02	1.1610953e+02	1.4566342e+02	-1.0000001e-02
0	0	6	30	3	T	7.8506045e-02	1.2505892e+02	1.6092058e+02	-1.0000040e-02
0	0	6	30	3	E	6.1529860e-02	1.1724813e+02	1.4679367e+02	-1.0000346e-02
0	0	6	31	0	T	7.5349383e-02	1.4065031e+02	1.6286566e+02	-9.9999998e-03
0	0	6	31	0	E	4.6255812e-02	1.2600310e+02	1.6024762e+02	-1.0000255e-02
0	0	6	31	1	T	7.7762179e-02	1.2781117e+02	1.6231259e+02	-1.0000003e-02
0	0	6	31	1	E	6.0614333e-02	1.2621266e+02	1.6111743e+02	-1.0000078e-02
0	0	6	31	2	T	7.1790271e-02	1.2706022e+02	1.6247054e+02	-1.0000001e-02
0	0	6	31	2	E	5.4480299e-02	1.2683173e+02	1.5987340e+02	-1.0000020e-02
0	0	6	31	3	T	7.2127871e-02	1.2911433e+02	1.6207526e+02	-9.9999998e-03
0	0	6	31	3	E	5.4510817e-02	1.2526509e+02	1.6034505e+02	-1.0000005e-02
0	0	6	32	0	T	7.7897601e-02	1.3925174e+02	1.6533708e+02	-9.9999998e-03
0	0	6	32	0	E	6.0240492e-02	1.4066707e+02	1.6851250e+02	-1.0000012e-02
0	0	6	32	1	T	7.8105502e-02	1.2852274e+02	1.6478088e+02	-1.0000001e-02
0	0	6	32	1	E	4.3562636e-02	1.3574327e+02	1.6734445e+02	-1.0000149e-02
0	0	6	32	2	T	7.7800326e-02	1.2848512e+02	1.6416064e+02	-1.0000001e-02
0	0	6	32	2	E	6.0835585e-02	1.4185832e+02	1.6670767e+02	-9.9999998e-03
0	0	6	32	3	T	5.2251391e-02	1.2410844e+02	1.6596916e+02	-1.0000004e-02
0	0	6	32	3	E	3.9030775e-02	1.3603203e+02	1.6711288e+02	-1.0000520e-02
0	0	6	33	0	T	7.7224307e-02	1.4554977e+02	1.6784587e+02	-9.9999998e-03
0	0	6	33	0	E	3.7558302e-02	1.3054407e+02	1.6015523e+02	-1.0001353e-02
0	0	6	33	1	T	7.5891070e-02	1.3412598e+02	1.6691403e+02	-1.0000002e-02
0	0	6	33	1	E	5.1291212e-02	1.3001506e+02	1.6101627e+02	-1.0000026e-02
0	0	6	33	2	T	4.9956851e-02	1.2839038e+02	1.6626848e+02	-1.0000001e-02
0	0	6	33	2	E	6.0965285e-02	1.2894426e+02	1.6073476e+02	-1.0000004e-02
0	0	6	33	3	T	6.8400912e-02	1.3064008e+02	1.6702129e+02	-1.0000130e-02
0	0	6	33	3	E	5.7722792e-02	1.3111366e+02	1.5986716e+02	-1.0000005e-02
0	0	6	34	0	T	-7.3757596e-02	1.3665852e+02	1.5909294e+02	-1.0000043e-02
0	0	6	34	0	E	-5.3162828e-02	1.2678175e+02	1.6163574e+02	-1.0000662e-02
0	0	6	34	1	T	-7.3778577e-02	1.2738760e+02	1.5896838e+02	-1.0000002e-02
0	0	6	34	1	E	-4.1886583e-02	1.2865839e+02	1.6100777e+02	-1.0000170e-02
