#portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	7	53	50.1089	60.95	60.0846
0	0	7	54	47.6292	60.9892	61.1419
0	0	7	55	50.1015	60.9476	59.0566
0	0	7	56	48.9568	60.2874	61.0938
0	0	7	57	49.6477	60.95	60.9575
0	0	7	58	48.2986	60.3854	61.0167
0	0	7	59	49.5172	60.463	58.3525
0	0	7	60	49.9316	60.4358	60.9001
0	0	7	61	50.1318	60.95	60.4961
0	0	7	62	51.343	60.2839	58.9499
0	0	7	63	51.2383	60.3671	59.1641
