# portID	slaveID	chipID	channelID	baseline_T	baseline_E	zero_T1	zero_T2	zero_E	noise_T1	noise_T2	noise_E
0	0	6	48	53	5	50.502280360139935	60.47882732617462	60.0	0.4413046104211336	0.17964182546268365	0.05152051087640182
0	0	6	49	49	5	52.43077273182347	60.5886634100724	59.22504448644534	0.4669156164332241	0.1551941396423876	0.05181292961655739
0	0	6	50	50	5	51.777872539212666	60.37256544379255	59.219803554559704	0.4749184992916896	0.11995936174015762	0.05163108006455911
0	0	6	51	47	6	52.46538393524054	60.67841681377509	60.11497287385551	0.4570629969848397	0.22965027774130925	0.05005070107063017
0	0	6	52	47	5	52.009244813409325	60.76414117366464	59.106472895697465	0.4809803728818119	0.24512151512834096	0.050178143271760636
0	0	6	53	51	5	51.52097907876372	60.65340739945907	59.10795539924582	0.42489876256667447	0.22880073666123807	0.05315560257070578
0	0	6	54	48	5	50.61937511267294	60.5527753154158	59.417288721374575	0.4539773881367111	0.20032249920460965	0.05001186214616103
0	0	6	55	50	5	55.75891598624545	60.380407131242094	59.00676558373424	0.4098079723294449	0.07880057138719501	0.06459536453241516
0	0	6	56	50	5	51.70053445964448	60.53154531479001	59.11234843624006	0.41951659702909294	0.2001326138244527	0.05151282725866001
0	0	6	57	50	6	54.61520297856548	60.37061825118373	61.10541787397499	0.44823491514007435	0.1667480587497603	0.05327047626917797
0	0	6	58	47	6	45.413305118317815	61.18587911369918	61.113913866270146	0.4071106622007721	0.2571195720086793	0.07391762805182168
0	0	6	59	52	5	49.70364248919484	60.43212240280697	59.005399009047885	0.42178106739656984	0.12438820372193053	0.06944028518522952
0	0	6	60	51	6	55.63481043391855	60.357729320634675	61.097407651600165	0.36400982995118125	0.12572056810010285	0.05000129476759867
0	0	6	61	52	6	51.07824984776144	60.45532726148328	61.35540583422657	0.4198721584188147	0.1403119946568347	0.0506716083889956
0	0	6	62	49	7	53.675484329027746	60.44828061919546	61.105149530784885	0.42743418726121496	0.18881687714723372	0.051047891639387055
0	0	6	63	50	5	49.31287846026083	61.307108978692725	59.235471674363765	0.4008745973170584	0.11941662069999423	0.05000026387422386
0	0	7	0	48	6	51.06231441037824	60.39445805582444	61.229820977478674	0.6953294143024669	0.10248830032276227	0.05356712034485167
0	0	7	1	45	7	45.91317067762973	60.730170109803545	61.2387828998955	0.5816703692039371	0.1920826710741783	0.05001641002414988
0	0	7	2	46	7	51.35783914248872	61.0	61.046490597501794	0.4323159169152359	0.05442275802810009	0.09848536970276298
0	0	7	3	47	7	49.34597133522831	60.45414017044831	61.17848711728205	0.5207626207366827	0.1360910649665906	0.05000715887501878
0	0	7	4	47	6	49.95787413142762	60.38001028037132	61.074080173027326	0.48657929644223036	0.1524890958218704	0.08398460310837423
0	0	7	5	49	5	48.430555503158274	60.34873692099332	59.144268785982135	0.6672463584390376	0.15339516959618082	0.051169298932976566
0	0	7	6	46	5	52.35005318253609	60.480724466833635	59.241248574091536	0.4355492594709298	0.05006863055364552	0.05049784299403394
0	0	7	7	47	5	51.22253949997158	60.43859114295999	59.15078061718344	0.53254859423783	0.1839315123685012	0.08999232644218935
0	0	7	8	50	5	45.040508767888525	60.6388177758289	59.43265822327203	0.4795872158736706	0.16382826794764538	0.05008800567423342
