# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	4	17	1	E	5.0480597e-02	1.2870474e+02	1.6255121e+02	-1.0000001e-02
0	0	4	17	2	T	6.8695724e-02	1.1954324e+02	1.6345218e+02	-9.9999998e-03
0	0	4	17	2	E	4.9732916e-02	1.2636321e+02	1.6288361e+02	-1.0000001e-02
0	0	4	17	3	T	6.8518341e-02	1.1907680e+02	1.6395860e+02	-1.0000001e-02
0	0	4	17	3	E	4.1996710e-02	1.2683591e+02	1.6291533e+02	-9.9999998e-03
0	0	4	18	0	T	5.1470459e-02	1.2503513e+02	1.6071991e+02	-9.9999998e-03
0	0	4	18	0	E	4.3461554e-02	1.2073078e+02	1.6006384e+02	-9.9999998e-03
0	0	4	18	1	T	6.8579376e-02	1.1992928e+02	1.5999261e+02	-9.9999998e-03
0	0	4	18	1	E	3.2948248e-02	1.2038227e+02	1.5952921e+02	-9.9999998e-03
0	0	4	18	2	T	6.0850799e-02	1.2038439e+02	1.5862126e+02	-1.0000001e-02
0	0	4	18	2	E	4.4461004e-02	1.2213309e+02	1.5975212e+02	-1.0000003e-02
0	0	4	18	3	T	6.2170684e-02	1.1824908e+02	1.5981361e+02	-1.0000001e-02
0	0	4	18	3	E	4.0196173e-02	1.2007956e+02	1.5996523e+02	-1.0000009e-02
0	0	4	19	0	T	6.7782104e-02	1.2513751e+02	1.6180753e+02	-1.0000013e-02
0	0	4	19	0	E	3.3253424e-02	1.1852978e+02	1.5583565e+02	-1.0000042e-02
0	0	4	19	1	T	7.4036300e-02	1.1736546e+02	1.6230096e+02	-9.9999998e-03
0	0	4	19	1	E	4.4384710e-02	1.2024129e+02	1.5481697e+02	-9.9999998e-03
0	0	4	19	2	T	6.8051040e-02	1.1791961e+02	1.6215643e+02	-1.0000002e-02
0	0	4	19	2	E	4.3751471e-02	1.2150277e+02	1.5600589e+02	-9.9999998e-03
0	0	4	19	3	T	6.2960327e-02	1.1810361e+02	1.6248746e+02	-9.9999998e-03
0	0	4	19	3	E	4.4026129e-02	1.1811475e+02	1.5651279e+02	-1.0000003e-02
0	0	4	20	0	T	6.3236892e-02	1.3292964e+02	1.6487599e+02	-1.0000013e-02
0	0	4	20	0	E	3.6480658e-02	1.1342944e+02	1.4801988e+02	-9.9999998e-03
0	0	4	20	1	T	6.8739593e-02	1.2551953e+02	1.6393422e+02	-9.9999998e-03
0	0	4	20	1	E	3.1941168e-02	1.1324353e+02	1.4737886e+02	-1.0000001e-02
0	0	4	20	2	T	5.7127655e-02	1.2200602e+02	1.6448131e+02	-9.9999998e-03
0	0	4	20	2	E	3.1773321e-02	1.1201959e+02	1.4809131e+02	-1.0000002e-02
0	0	4	20	3	T	6.7602813e-02	1.2336192e+02	1.6447928e+02	-9.9999998e-03
0	0	4	20	3	E	3.7853949e-02	1.1459299e+02	1.4780814e+02	-1.0000001e-02
0	0	4	21	0	T	6.7131698e-02	1.3113440e+02	1.6173282e+02	-9.9999998e-03
0	0	4	21	0	E	4.9679510e-02	1.1574617e+02	1.5743121e+02	-1.0000001e-02
0	0	4	21	1	T	6.7022979e-02	1.2289774e+02	1.6079924e+02	-9.9999998e-03
0	0	4	21	1	E	4.9267523e-02	1.1402411e+02	1.5832932e+02	-1.0000001e-02
0	0	4	21	2	T	6.5888107e-02	1.2057099e+02	1.6069571e+02	-9.9999998e-03
